loc,lat,lng,Arrest Count,restaurant,school,bus_station,atm,supermarket,park,gym,hospital
"36.62,-91.69",36.62,-91.69,41.0,0,0,0,0,0,0,0,0
"41.64,-87.54",41.64,-87.54,1.0,12,1,2,5,0,13,1,0
"41.64,-87.57",41.64,-87.57,0.0,12,4,0,8,0,11,2,1
"41.64,-87.59",41.64,-87.59,0.0,7,3,0,7,0,4,1,1
"41.64,-87.6",41.64,-87.6,2.0,9,17,0,10,1,3,3,0
"41.64,-87.61",41.64,-87.61,11.0,13,19,0,12,1,3,2,0
"41.64,-87.62",41.64,-87.62,0.0,17,20,0,15,2,8,1,0
"41.65,-87.53",41.65,-87.53,168.0,15,2,1,4,3,10,0,0
"41.65,-87.54",41.65,-87.54,694.0,15,2,2,4,2,11,1,0
"41.65,-87.55",41.65,-87.55,823.0,16,3,1,6,2,14,2,0
"41.65,-87.56",41.65,-87.56,45.0,13,2,1,7,2,7,2,0
"41.65,-87.57",41.65,-87.57,5.0,3,1,0,3,1,6,0,0
"41.65,-87.58",41.65,-87.58,4.0,1,3,0,4,0,5,1,0
"41.65,-87.59",41.65,-87.59,101.0,3,8,0,4,0,4,2,0
"41.65,-87.6",41.65,-87.6,1104.0,7,13,0,6,0,5,2,0
"41.65,-87.61",41.65,-87.61,955.0,8,14,0,8,0,5,2,0
"41.65,-87.62",41.65,-87.62,508.0,5,15,0,6,0,6,1,0
"41.66,-87.54",41.66,-87.54,140.0,14,2,1,4,2,5,1,0
"41.66,-87.55",41.66,-87.55,491.0,14,2,0,4,2,9,1,0
"41.66,-87.56",41.66,-87.56,158.0,9,3,0,5,2,8,1,0
"41.66,-87.57",41.66,-87.57,10.0,2,2,0,1,0,8,0,0
"41.66,-87.58",41.66,-87.58,22.0,1,2,0,1,0,5,0,0
"41.66,-87.59",41.66,-87.59,503.0,1,8,0,1,0,3,2,0
"41.66,-87.6",41.66,-87.6,2546.0,1,9,0,1,0,3,2,0
"41.66,-87.61",41.66,-87.61,1665.0,0,10,0,2,0,6,2,0
"41.66,-87.62",41.66,-87.62,610.0,0,10,0,2,0,7,1,0
"41.66,-87.63",41.66,-87.63,366.0,4,12,0,2,0,6,2,0
"41.66,-87.64",41.66,-87.64,914.0,17,12,0,5,0,4,3,0
"41.66,-87.65",41.66,-87.65,62.0,20,14,0,12,2,7,2,0
"41.67,-87.54",41.67,-87.54,59.0,2,1,0,3,1,3,2,0
"41.67,-87.55",41.67,-87.55,22.0,1,1,0,1,0,8,1,0
"41.67,-87.56",41.67,-87.56,52.0,0,1,0,0,0,7,0,0
"41.67,-87.57",41.67,-87.57,5.0,0,2,0,0,0,7,0,0
"41.67,-87.58",41.67,-87.58,10.0,0,1,0,0,0,6,0,0
"41.67,-87.59",41.67,-87.59,1.0,1,2,0,0,0,2,1,0
"41.67,-87.6",41.67,-87.6,11.0,0,1,0,1,0,4,1,0
"41.67,-87.61",41.67,-87.61,1.0,2,6,0,1,0,6,1,0
"41.67,-87.62",41.67,-87.62,1590.0,3,11,0,2,0,6,2,0
"41.67,-87.63",41.67,-87.63,1454.0,8,17,0,5,1,5,3,0
"41.67,-87.64",41.67,-87.64,2963.0,20,18,0,7,2,8,4,0
"41.67,-87.65",41.67,-87.65,404.0,20,20,0,18,2,11,4,0
"41.67,-87.66",41.67,-87.66,169.0,20,16,0,16,3,12,2,0
"41.68,-87.53",41.68,-87.53,25.0,2,3,0,4,1,6,3,0
"41.68,-87.54",41.68,-87.54,238.0,2,3,0,4,1,5,3,0
"41.68,-87.55",41.68,-87.55,11.0,2,2,0,3,1,6,1,0
"41.68,-87.56",41.68,-87.56,26.0,0,0,1,0,0,8,0,0
"41.68,-87.58",41.68,-87.58,10.0,0,0,0,0,0,6,0,0
"41.68,-87.6",41.68,-87.6,110.0,8,12,1,4,1,14,1,0
"41.68,-87.61",41.68,-87.61,166.0,19,20,1,7,2,18,5,1
"41.68,-87.62",41.68,-87.62,6665.0,20,20,1,8,1,12,8,2
"41.68,-87.63",41.68,-87.63,7021.0,20,20,1,13,3,9,4,3
"41.68,-87.64",41.68,-87.64,4516.0,20,20,0,11,2,8,3,1
"41.68,-87.65",41.68,-87.65,1416.0,20,20,0,14,3,8,3,2
"41.68,-87.66",41.68,-87.66,1866.0,20,20,0,14,3,17,3,2
"41.68,-87.67",41.68,-87.67,788.0,20,20,1,20,4,19,4,6
"41.68,-87.68",41.68,-87.68,370.0,20,20,1,20,3,15,5,5
"41.68,-87.69",41.68,-87.69,25.0,20,19,3,20,3,12,7,8
"41.68,-87.7",41.68,-87.7,13.0,20,13,3,8,1,10,8,6
"41.68,-87.71",41.68,-87.71,91.0,20,15,5,19,2,11,6,7
"41.68,-87.72",41.68,-87.72,96.0,20,17,4,17,2,12,5,6
"41.68,-87.73",41.68,-87.73,8.0,20,19,2,20,3,10,5,4
"41.68,-87.74",41.68,-87.74,1.0,20,13,0,9,1,10,5,0
"41.69,-87.52",41.69,-87.52,8.0,20,7,0,10,4,8,3,1
"41.69,-87.53",41.69,-87.53,238.0,20,5,0,13,5,9,4,0
"41.69,-87.54",41.69,-87.54,1058.0,13,5,0,10,2,7,4,0
"41.69,-87.55",41.69,-87.55,3.0,7,5,1,4,1,4,3,0
"41.69,-87.56",41.69,-87.56,21.0,4,2,2,1,0,6,0,1
"41.69,-87.58",41.69,-87.58,7.0,1,1,0,0,0,5,0,0
"41.69,-87.6",41.69,-87.6,1231.0,11,17,1,6,2,16,4,0
"41.69,-87.61",41.69,-87.61,2281.0,20,20,1,13,3,18,7,2
"41.69,-87.62",41.69,-87.62,8420.0,20,20,1,13,2,17,6,2
"41.69,-87.63",41.69,-87.63,4750.0,20,20,1,17,3,1,7,4
"41.69,-87.64",41.69,-87.64,4393.0,20,20,0,18,3,9,4,5
"41.69,-87.65",41.69,-87.65,2143.0,20,20,0,14,4,17,3,5
"41.69,-87.66",41.69,-87.66,2715.0,20,20,0,13,2,20,3,3
"41.69,-87.67",41.69,-87.67,1737.0,20,20,1,17,3,20,5,5
"41.69,-87.68",41.69,-87.68,699.0,20,17,2,19,3,20,10,5
"41.69,-87.69",41.69,-87.69,176.0,20,19,3,19,2,15,13,9
"41.69,-87.7",41.69,-87.7,653.0,20,13,5,11,0,7,10,9
"41.69,-87.71",41.69,-87.71,349.0,20,12,5,15,0,5,10,9
"41.69,-87.72",41.69,-87.72,201.0,20,18,5,15,0,8,6,7
"41.69,-87.73",41.69,-87.73,2.0,20,20,3,19,1,11,3,6
"41.69,-87.74",41.69,-87.74,2.0,20,17,0,17,1,6,2,6
"41.7,-87.52",41.7,-87.52,34.0,20,7,0,11,4,7,4,0
"41.7,-87.53",41.7,-87.53,925.0,20,9,0,11,4,9,4,0
"41.7,-87.54",41.7,-87.54,1610.0,20,9,0,10,3,8,4,0
"41.7,-87.55",41.7,-87.55,47.0,20,6,2,12,1,4,4,1
"41.7,-87.56",41.7,-87.56,1787.0,15,5,2,4,0,7,2,1
"41.7,-87.57",41.7,-87.57,299.0,10,5,6,4,0,6,2,1
"41.7,-87.58",41.7,-87.58,7.0,3,4,5,0,0,3,2,1
"41.7,-87.59",41.7,-87.59,6.0,9,8,5,5,2,4,1,0
"41.7,-87.6",41.7,-87.6,1460.0,16,16,1,8,2,16,2,0
"41.7,-87.61",41.7,-87.61,1825.0,20,20,0,18,3,17,6,3
"41.7,-87.62",41.7,-87.62,5934.0,20,20,0,17,2,16,6,3
"41.7,-87.63",41.7,-87.63,4849.0,20,20,0,19,3,7,8,5
"41.7,-87.64",41.7,-87.64,1653.0,20,20,0,15,2,10,3,5
"41.7,-87.65",41.7,-87.65,1520.0,20,20,0,10,2,12,3,3
"41.7,-87.66",41.7,-87.66,809.0,16,20,0,9,3,20,4,3
"41.7,-87.67",41.7,-87.67,310.0,20,20,1,20,2,20,9,6
"41.7,-87.68",41.7,-87.68,488.0,20,20,1,20,1,18,7,4
"41.7,-87.69",41.7,-87.69,104.0,20,20,1,20,1,12,12,6
"41.7,-87.7",41.7,-87.7,285.0,20,16,1,20,1,10,15,3
"41.7,-87.71",41.7,-87.71,193.0,20,20,3,20,0,6,12,7
"41.7,-87.72",41.7,-87.72,111.0,19,20,3,11,0,5,7,5
"41.71,-87.53",41.71,-87.53,399.0,20,8,0,10,4,8,5,0
"41.71,-87.54",41.71,-87.54,1381.0,20,10,0,12,4,10,5,0
"41.71,-87.55",41.71,-87.55,376.0,20,17,1,15,1,10,4,1
"41.71,-87.56",41.71,-87.56,1213.0,17,14,1,9,2,13,2,3
"41.71,-87.57",41.71,-87.57,1490.0,20,14,6,9,2,13,2,4
"41.71,-87.58",41.71,-87.58,221.0,15,9,5,8,0,8,2,1
