hike trail,bike trail
0,0
1,1
2,1
2,1
1,2
3,3
3,3
4,5
2,3
3,2
2,2
2,1
1,1
1,1
1,2
3,3
3,3
4,5
5,5
5,4
5,3
2,3
2,3
2,3
4,5
3,4
2,3
2,3
2,3
4,6
5,6
5,5
4,4
2,5
2,6
2,6
2,7
1,7
0,6
0,6
0,6
1,4
5,7
5,6
5,6
5,5
2,7
2,9
2,9
1,9
0,8
0,8
0,7
0,5
0,3
0,2
0,1
0,2
1,3
1,4
2,4
2,5
6,7
4,8
5,8
5,7
5,7
2,8
2,9
2,10
0,10
0,10
0,9
0,8
0,6
0,4
0,3
0,1
0,0
1,1
1,2
1,1
1,2
3,7
4,8
6,10
6,9
5,10
5,10
2,11
2,13
2,13
3,13
0,14
1,14
1,12
1,11
1,9
1,6
1,5
1,3
1,1
1,1
1,1
3,10
5,11
5,13
4,15
4,15
2,16
2,17
2,18
4,17
0,17
1,16
3,16
5,14
5,13
5,9
5,9
4,6
4,5
4,5
3,4
2,8
6,13
6,15
5,18
5,20
3,20
3,20
3,20
4,20
0,20
1,20
4,20
6,19
6,16
5,12
5,10
1,3
5,17
6,20
5,20
4,20
3,20
3,20
3,20
2,20
0,20
1,20
4,20
6,20
6,20
6,16
5,13
4,6
3,5
0,0
0,2
1,13
5,19
4,20
4,20
4,20
3,20
3,20
3,20
2,20
0,20
1,20
4,20
5,20
5,20
5,18
4,14
5,10
4,8
4,4
3,6
0,0
0,0
2,20
3,20
3,20
3,20
3,20
3,20
3,20
2,20
1,20
1,20
4,20
5,20
5,19
5,16
5,15
4,13
4,10
4,6
3,5
0,0
0,0
3,19
4,20
4,20
4,20
4,20
4,20
4,20
3,20
2,20
0,20
3,20
4,20
5,20
5,17
5,16
5,14
5,9
5,5
3,5
0,0
0,0
5,20
5,20
4,20
4,20
4,20
3,20
3,20
0,20
0,20
2,20
2,17
2,17
2,16
2,13
2,10
2,4
2,2
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
4,20
4,20
4,20
4,20
3,20
3,20
0,20
0,19
0,19
0,19
0,20
0,17
0,19
0,12
0,4
0,1
0,0
0,0
0,0
0,0
2,2
2,2
3,2
2,2
4,20
4,20
4,20
4,20
3,20
1,20
1,19
1,19
1,18
0,19
0,18
0,16
0,12
0,4
0,1
0,0
0,0
0,0
0,0
2,3
2,4
3,4
3,4
3,20
3,20
4,18
5,20
4,20
2,20
2,20
1,19
1,18
1,18
0,18
0,16
0,15
0,8
0,3
0,0
0,0
0,0
0,0
2,3
2,4
3,4
3,4
4,19
3,19
4,19
4,20
4,20
2,20
1,20
1,20
1,18
0,19
0,19
0,17
0,15
0,8
0,3
0,0
0,0
0,0
2,20
2,20
3,20
3,20
3,18
2,18
1,20
1,19
1,18
1,18
1,17
0,17
0,14
0,11
0,6
0,4
0,2
3,20
4,20
5,20
4,20
3,20
2,19
2,19
2,18
1,19
1,17
0,17
0,16
0,14
0,9
0,6
5,20
6,20
5,20
4,20
3,20
1,20
1,20
1,19
1,17
0,18
0,17
0,15
0,12
0,7
6,20
6,20
6,20
4,20
4,20
2,20
1,20
1,20
1,20
0,20
0,18
0,18
0,17
0,14
7,20
7,20
7,20
6,20
5,20
4,20
1,20
1,19
1,19
0,19
0,18
0,17
0,19
0,16
9,20
9,20
9,20
7,20
7,20
5,20
2,20
1,19
1,18
0,18
0,16
0,17
0,16
0,15
0,16
0,11
0,10
8,20
8,20
8,20
7,20
6,20
3,20
2,19
1,19
0,18
0,19
0,16
0,16
0,15
0,14
0,14
0,13
0,11
7,20
8,20
9,20
8,20
7,20
6,20
4,20
4,20
4,20
4,20
3,20
3,20
2,19
3,18
3,16
2,15
1,13
0,12
0,10
7,20
6,20
6,20
5,20
4,20
4,20
4,20
4,20
3,20
3,19
2,16
2,16
2,15
2,13
1,12
0,10
0,9
6,20
8,20
6,20
6,20
4,19
5,20
4,18
3,18
3,16
3,16
2,16
2,15
2,15
2,17
1,12
0,10
0,8
5,11
5,12
5,11
4,19
4,20
4,18
3,20
5,20
3,20
3,18
3,18
3,19
3,15
2,15
2,14
2,13
1,8
0,6
0,4
3,6
4,8
5,8
2,18
3,18
3,19
3,20
5,19
3,19
4,16
3,17
3,19
2,14
2,14
2,13
2,12
1,9
0,6
0,3
1,3
2,5
5,10
5,10
2,19
3,18
3,17
3,19
4,20
4,19
3,18
3,16
3,16
2,13
2,15
2,13
2,12
1,10
0,6
0,3
1,2
2,4
5,9
5,8
5,9
5,9
5,9
2,16
2,14
2,16
2,19
0,17
1,15
0,13
1,14
1,13
1,14
1,12
1,10
1,9
1,7
1,4
0,1
1,1
6,7
5,6
5,6
5,6
5,7
1,2
0,0
0,0
1,1
3,19
2,17
3,15
3,17
3,19
3,19
5,18
4,13
5,12
6,13
7,16
6,12
6,13
5,10
3,9
3,6
2,2
1,1
4,5
4,5
4,5
4,6
1,2
0,0
0,0
1,1
1,1
2,15
3,13
3,14
3,18
3,17
5,15
4,13
5,12
6,12
8,16
7,13
7,15
6,12
4,11
4,8
3,4
2,4
4,5
6,8
6,7
6,7
6,7
6,8
6,8
6,7
3,4
1,1
0,0
0,0
0,0
2,14
2,12
3,17
5,15
6,14
5,11
6,11
7,12
9,14
8,15
8,15
8,13
6,12
6,11
5,8
4,6
5,8
7,10
7,10
5,8
6,8
6,8
5,8
3,6
1,3
0,0
2,16
2,15
3,19
5,17
6,16
5,13
6,13
7,13
9,16
8,16
8,16
9,13
5,10
6,8
5,6
4,5
3,4
5,6
6,7
4,5
5,6
4,6
4,5
1,1
0,0
0,0
2,15
2,18
3,18
5,19
6,18
5,14
6,15
7,15
8,15
8,15
7,15
9,12
7,9
8,8
6,7
6,6
5,5
7,7
4,6
3,5
1,1
0,0
0,0
0,0
2,16
3,19
4,19
6,18
5,13
6,14
11,14
8,11
9,10
9,9
6,6
8,9
2,4
1,1
0,0
0,13
1,18
1,18
1,17
1,15
1,15
8,9
5,6
7,9
